-1,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0
1,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0
1,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0
-1,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0
1,-1,1,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0
1,3,-1,1,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,1
1,1,-3,-1,0,,0,0,0,0,,0,0,0,0,,1,-1,0,0,0
1,-1,5,2,2,,0,0,0,0,,0,0,0,0,,-1,3,1,1,3
-1,0,0,0,2,,-1,1,0,0,,0,0,0,0,,-3,1,-1,0,2
-1,0,0,0,2,,-3,1,-1,-1,,0,0,0,0,,-5,1,-2,-2,-1
-1,0,0,0,2,,-5,1,-2,-3,,-1,1,0,0,,0,0,0,-2,-3
1,0,0,0,2,,7,-1,3,0,,3,-1,1,1,,0,0,0,-2,1
-1,3,-3,0,2,,0,0,0,0,,1,-3,-1,0,,0,0,0,-2,0
-1,1,-5,-2,0,,0,0,0,0,,1,-5,-2,-2,,0,0,0,-2,-4
1,-1,7,3,3,,0,0,0,0,,0,0,0,-2,,-7,1,-3,-5,-4
-1,-3,5,1,4,,0,0,0,0,,0,0,0,-2,,-9,1,-4,-9,-7
-1,0,0,0,4,,5,-3,1,1,,0,0,0,-2,,11,-1,5,-4,-1
1,0,0,0,4,,-3,5,1,2,,0,0,0,-2,,-9,3,-3,-7,-3
1,0,0,0,4,,5,-3,1,3,,1,-7,-3,-5,,0,0,0,-7,-5
-1,0,0,0,4,,3,-5,-1,2,,1,-9,-4,-9,,0,0,0,-7,-10
1,-5,3,-1,3,,0,0,0,2,,-1,11,5,-4,,0,0,0,-7,-6
1,7,-1,3,6,,0,0,0,2,,3,-9,-3,-7,,0,0,0,-7,-6
1,5,-3,1,7,,0,0,0,2,,0,0,0,-7,,11,-1,5,-2,0
-1,3,-5,-1,6,,0,0,0,2,,0,0,0,-7,,9,-3,3,1,2
1,0,0,0,6,,1,-7,-3,-1,,0,0,0,-7,,7,-5,1,2,0
1,0,0,0,6,,1,-9,-4,-5,,0,0,0,-7,,5,-7,-1,1,-5
-1,0,0,0,6,,-1,11,5,0,,-1,11,5,-2,,0,0,0,1,5
1,0,0,0,6,,-3,9,3,3,,-3,9,3,1,,0,0,0,1,11
1,1,-7,-3,3,,0,0,0,3,,5,-7,-1,0,,0,0,0,1,7
1,1,-9,-4,-1,,0,0,0,3,,3,-9,-3,-3,,0,0,0,1,0
-1,1,-11,-5,-6,,0,0,0,3,,0,0,0,-3,,3,-9,-3,-2,-8
1,1,-13,-6,-12,,0,0,0,3,,0,0,0,-3,,1,-11,-5,-7,-19
-1,0,0,0,-12,,-5,7,1,4,,0,0,0,-3,,-1,13,6,-1,-12
1,0,0,0,-12,,7,-5,1,5,,0,0,0,-3,,3,-11,-4,-5,-15
1,0,0,0,-12,,-5,7,1,6,,-1,11,5,2,,0,0,0,-5,-9
1,0,0,0,-12,,7,-5,1,7,,3,-9,-3,-1,,0,0,0,-5,-11
1,-1,15,7,-5,,0,0,0,7,,-1,11,5,4,,0,0,0,-5,1
-1,-3,13,5,0,,0,0,0,7,,-3,9,3,7,,0,0,0,-5,9
1,5,-11,-3,-3,,0,0,0,7,,0,0,0,7,,1,-13,-6,-11,0
-1,-3,13,5,2,,0,0,0,7,,0,0,0,7,,-1,15,7,-4,12
-1,0,0,0,2,,-5,7,1,8,,0,0,0,7,,-3,13,5,1,18
1,0,0,0,2,,-7,5,-1,7,,0,0,0,7,,-5,11,3,4,20
-1,0,0,0,2,,-9,3,-3,4,,-5,7,1,8,,0,0,0,4,18
-1,0,0,0,2,,11,-1,5,9,,7,-5,1,9,,0,0,0,4,24
-1,5,-11,-3,-1,,0,0,0,9,,5,-7,-1,8,,0,0,0,4,20
-1,-3,13,5,4,,0,0,0,9,,-3,9,3,11,,0,0,0,4,28
1,-5,11,3,7,,0,0,0,9,,0,0,0,11,,-7,9,1,5,32
-1,7,-9,-1,6,,0,0,0,9,,0,0,0,11,,9,-7,1,6,32
-1,0,0,0,6,,9,-3,3,12,,0,0,0,11,,7,-9,-1,5,34
1,0,0,0,6,,-7,5,-1,11,,0,0,0,11,,-5,11,3,8,36
1,0,0,0,6,,9,-3,3,14,,5,-7,-1,10,,0,0,0,8,38
-1,0,0,0,6,,7,-5,1,15,,3,-9,-3,7,,0,0,0,8,36
1,-5,11,3,9,,0,0,0,15,,-1,11,5,12,,0,0,0,8,44
-1,-7,9,1,10,,0,0,0,15,,-3,9,3,15,,0,0,0,8,48
-1,-9,7,-1,9,,0,0,0,15,,0,0,0,15,,-7,9,1,9,48
1,-11,5,-3,6,,0,0,0,15,,0,0,0,15,,-9,7,-1,8,44
-1,0,0,0,6,,-5,7,1,16,,0,0,0,15,,-11,5,-3,5,42
