ID,Time,Card,Loss/Profit,Total
1,2021-12-24 10:35:21,Player,,0
2,2021-12-24 10:35:21,Player,,0
3,2021-12-24 10:35:22,Player,,0
4,2021-12-24 10:35:24,Banker,,0
5,2021-12-24 10:35:24,Banker,,0
6,2021-12-24 10:35:24,Banker,-1,-1
7,2021-12-24 10:35:25,Banker,-2,-3
8,2021-12-24 10:35:27,Player,-4,-7
9,2021-12-24 10:35:27,Player,1,-6
10,2021-12-24 10:35:28,Player,-2,-8
11,2021-12-24 10:35:29,Banker,2,-6
12,2021-12-24 10:35:47,Player,4,-2
13,2021-12-24 10:35:55,Banker,-3,-5
14,2021-12-24 10:35:55,Banker,1,-4
15,2021-12-24 10:35:56,Banker,3,-1
16,2021-12-24 10:35:56,Banker,1,0
17,2021-12-24 10:36:02,Player,-6,-6
18,2021-12-24 10:36:02,Player,-2,-8
19,2021-12-24 10:36:07,Banker,6,-2
20,2021-12-24 10:36:12,Player,-8,-10
21,2021-12-24 10:36:12,Player,2,-8
22,2021-12-24 10:36:13,Player,-2,-10
23,2021-12-24 10:36:20,Player,1,-9
24,2021-12-24 10:36:20,Player,2,-7
25,2021-12-24 10:36:26,Banker,-4,-11
26,2021-12-24 10:36:26,Banker,,-11
27,2021-12-24 10:36:30,Player,,-11
28,2021-12-24 10:36:30,Player,4,-7
29,2021-12-24 10:36:32,Banker,-6,-13
30,2021-12-24 10:36:35,Banker,-2,-15
31,2021-12-24 10:36:35,Banker,2,-13
32,2021-12-24 10:36:37,Player,2,-11
33,2021-12-24 10:36:43,Banker,7,-4
34,2021-12-24 10:36:44,Banker,10,6
35,2021-12-24 10:36:44,Banker,,6
36,2021-12-24 10:36:47,Player,-3,3
37,2021-12-24 10:36:52,Banker,-1,2
38,2021-12-24 10:36:52,Banker,3,5
39,2021-12-24 10:36:56,Player,-4,1
40,2021-12-24 10:36:59,Player,,1
41,2021-12-24 10:37:00,Banker,2,3
42,2021-12-24 10:37:04,Player,-6,-3
43,2021-12-24 10:37:05,Player,1,-2
44,2021-12-24 10:37:12,Banker,3,1
45,2021-12-24 10:37:13,Banker,-8,-7
46,2021-12-24 10:37:15,Player,-10,-17
47,2021-12-24 10:37:17,Player,-3,-20
48,2021-12-24 10:37:18,Player,7,-13
49,2021-12-24 10:37:23,Banker,-2,-15
50,2021-12-24 10:37:24,Banker,-2,-17
51,2021-12-24 10:37:24,Banker,1,-16
52,2021-12-24 10:37:25,Banker,-3,-19
53,2021-12-24 10:37:41,Player,2,-17
54,2021-12-24 10:37:42,Player,6,-11
55,2021-12-24 10:37:49,Banker,1,-10
56,2021-12-24 10:37:54,Banker,5,-5
57,2021-12-24 10:37:57,Player,9,4
58,2021-12-24 10:37:58,Banker,-12,-8
